127.0.0.1 - - [30/Nov/2019:10:05:40 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/images/news4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/images/news3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/images/news2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/images/news1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /demo/images/bloodicon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:50 +0530] "GET /demo/bank.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:05:50 +0530] "GET /demo/images/loginavatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:06:03 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:06:03 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:06:04 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:07:18 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:07:18 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:07:27 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:07:27 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:07:30 +0530] "GET /demo/bankupdate.jsp HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:08:28 +0530] "POST /demo/bankadd.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:08:28 +0530] "GET /demo/bankupdate.jsp HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:24 +0530] "POST /demo/bankadd.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:24 +0530] "GET /demo/bankupdate.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:39 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:42 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:42 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:44 +0530] "GET /demo/bank.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:52 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:52 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:09:54 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:10:08 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:10:17 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:10:17 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:10:19 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:11:12 +0530] "POST /demo/campadd.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:11:12 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:20 +0530] "POST /demo/campadd.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:27 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:34 +0530] "POST /demo/campadd.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:34 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:48 +0530] "GET /demo/logout.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:48 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:12:53 +0530] "GET /demo/bank.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:13:05 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:13:05 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:13:10 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:25:07 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:25:13 +0530] "GET /demo/checkavailability.jsp?id=bihar%20blood%20bank HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:41:09 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:41:11 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:41:19 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:41:19 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [30/Nov/2019:10:41:22 +0530] "GET /demo/bankupdate.jsp HTTP/1.1" 200 3712
