127.0.0.1 - - [14/Jan/2020:20:50:42 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/images/news4.jpg HTTP/1.1" 200 1689057
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/images/news1.jpg HTTP/1.1" 200 520918
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/images/news3.jpg HTTP/1.1" 200 1116323
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/images/news2.jpg HTTP/1.1" 200 992050
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/home.css HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:44 +0530] "GET /demo/images/bloodicon.jpg HTTP/1.1" 200 15418
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:50:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:02 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:02 +0530] "GET /demo/memberlogin.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:02 +0530] "GET /demo/images/loginavatar.png HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:14 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:14 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:51:17 +0530] "GET /demo/camp.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:53:24 +0530] "GET /demo/register.html HTTP/1.1" 200 3339
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:56:20 +0530] "GET /demo/register.jsp?username=Ankita+mishra&password=rangoli&name=ANKITA&dob=2002-12-24&sex=female&bg=apos&mail=Mishraankita0120%40gmail.com&city=BHAGALPUR&address=resham+nagar+colony+zero+mile&phone=09123178327 HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:56:28 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [14/Jan/2020:20:57:35 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
