127.0.0.1 - - [17/Jun/2021:18:56:27 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/images/news1.jpg HTTP/1.1" 200 520918
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/images/news4.jpg HTTP/1.1" 200 1689057
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/home.css HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/images/news3.jpg HTTP/1.1" 200 1116323
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/images/news2.jpg HTTP/1.1" 200 992050
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:28 +0530] "GET /demo/images/bloodicon.jpg HTTP/1.1" 200 15418
0:0:0:0:0:0:0:1 - - [17/Jun/2021:18:56:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2021:19:41:10 +0530] "GET /demo/bank.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:19:41:10 +0530] "GET /demo/memberlogin.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [17/Jun/2021:19:41:10 +0530] "GET /demo/images/loginavatar.png HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [17/Jun/2021:19:57:16 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
