127.0.0.1 - - [03/Sep/2022:17:03:01 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:02 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:10 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:28 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:58 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:03:59 +0530] "GET /demo/bank.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:04:13 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:08:48 +0530] "GET /demo/adminlogin.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:08:53 +0530] "GET /demo/adminlogin.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:00 +0530] "GET /demo/memberlogin.jsp? HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:00 +0530] "GET /demo/memberlogin.jsp? HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:00 +0530] "GET /demo/memberlogin.jsp? HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:11 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:14 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:28 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:28 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:33 +0530] "GET /demo/campupdate.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:57 +0530] "GET /demo/faq.html HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:09:58 +0530] "GET /demo/aboutus.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:10:00 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:12:29 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:12:36 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:12:47 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:12:56 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:13:11 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:14:34 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:14:36 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:14:46 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:16:25 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:16:27 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2022:17:16:42 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 200 800
